50,2000,2000,1,0.006298116,0.004364755,307772736,300681568,301771712,308567712,323430816,347743616,370885248,221172432,219391072,155894800
,,,,,,,,,,,,,,,
50,2500,2000,1,0.005862524,0.004329592,308858688,301560800,302127744,307903744,319741376,339594496,358925920,218684240,227768016,176446080
,,,,,,,,,,,,,,,
50,3000,2000,1,0.005467074,0.003789915,308961920,301169856,300742208,305190304,314760768,330732032,346087008,219247856,240403072,206602240
,,,,,,,,,,,,,,,
50,3500,2000,1,0.005029695,0.003166293,308479872,300344832,298556992,301064800,307866176,320768480,335538112,231016560,253320448,248284320
,,,,,,,,,,,,,,,
50,4000,2000,1,0.004641852,0.003211808,308132864,299543680,296535008,297644192,302268672,312460448,329810624,254000064,267424768,269076224
,,,,,,,,,,,,,,,
60,2000,2000,1,0.00636997,0.004819227,304879168,301242496,304826432,313165152,328784480,354708416,384342400,233230528,230842816,176818128
,,,,,,,,,,,,,,,
60,2500,2000,1,0.005747834,0.004079533,306670976,302371584,304627392,310962304,322826112,343678272,369057984,231526992,239303888,196472992
,,,,,,,,,,,,,,,
60,3000,2000,1,0.005102412,0.003034901,307576256,302425056,303145504,307690848,316634592,332843328,354745536,239771040,253135136,224703328
,,,,,,,,,,,,,,,
60,3500,2000,1,0.005019195,0.003490023,307619648,301539328,300394688,302729088,308887840,321218976,341024256,254906224,266106640,251535872
,,,,,,,,,,,,,,,
60,4000,2000,1,0.004576373,0.002943126,307590656,300711328,298023616,298313152,301811232,310455104,328570304,274364000,273966272,270281344
,,,,,,,,,,,,,,,
70,2000,2000,1,0.006249462,0.004526113,300924480,300462048,306881120,316641408,332230752,357464800,393356288,250924416,243710144,196839280
,,,,,,,,,,,,,,,
70,2500,2000,1,0.005050497,0.004199129,303909440,302038976,306094656,313097856,324784640,344984832,375353696,249157984,249920848,212678944
,,,,,,,,,,,,,,,
70,3000,2000,1,0.00532705,0.00374132,305691392,302540640,304581056,309280704,317702432,332622944,358277056,262101152,261004784,236889056
,,,,,,,,,,,,,,,
70,3500,2000,1,0.004972428,0.003286924,306490272,302257280,302295616,304623456,310355136,321225248,341819136,278316064,269945536,258638880
,,,,,,,,,,,,,,,
70,4000,2000,1,0.004661977,0.003012684,306919040,301748736,300016544,300266304,303449024,310744672,323459712,283744736,273970752,271395072
,,,,,,,,,,,,,,,
80,2000,2000,1,0.006161302,0.004674949,295912576,297960768,306665120,317228736,332080384,354928384,394122688,271308288,253580992,213339840
,,,,,,,,,,,,,,,
80,2500,2000,1,0.005708575,0.004102665,300515872,300464800,305947680,313297920,324388832,342521280,375430528,269797056,258169280,226639616
,,,,,,,,,,,,,,,
80,3000,2000,1,0.005159016,0.003280159,303168768,301565312,304432864,308845248,316046848,328226720,352389760,282057440,265975568,247872256
,,,,,,,,,,,,,,,
