bead_length,voltage,current,travel_speed,thermol_efficiency,energy_input,bead_width,bead_depth,1,2,3,4,5,6,7,8,9,10
50.0,25.0,100.0,2500.0,0.8,1000.0,0.002928506,0.001733366,309511680.0,299019200.0,295746016.0,296323776.0,300965728.0,311636960.0,318727584.0,269323168.0,181422304.0,188851232.0
50.0,25.0,125.0,2500.0,0.8,1000.0,0.002928506,0.001733366,309511680.0,299019200.0,295746016.0,296323776.0,300965728.0,311636960.0,318727584.0,269323168.0,181422304.0,188851232.0
50.0,25.0,150.0,2500.0,0.8,1000.0,0.002928506,0.001733366,309511680.0,299019200.0,295746016.0,296323776.0,300965728.0,311636960.0,318727584.0,269323168.0,181422304.0,188851232.0
50.0,25.0,160.0,2500.0,0.75,1000.0,0.002928506,0.001733366,309511680.0,299019200.0,295746016.0,296323776.0,300965728.0,311636960.0,318727584.0,269323168.0,181422304.0,188851232.0
50.0,30.0,125.0,2500.0,0.8,1000.0,0.002928506,0.001733366,309511680.0,299019200.0,295746016.0,296323776.0,300965728.0,311636960.0,318727584.0,269323168.0,181422304.0,188851232.0
50.0,32.0,125.0,2500.0,0.75,1000.0,0.002928506,0.001733366,309511680.0,299019200.0,295746016.0,296323776.0,300965728.0,311636960.0,318727584.0,269323168.0,181422304.0,188851232.0
50.0,37.5,100.0,2500.0,0.8,1000.0,0.002928506,0.001733366,309511680.0,299019200.0,295746016.0,296323776.0,300965728.0,311636960.0,318727584.0,269323168.0,181422304.0,188851232.0
50.0,40.0,100.0,2500.0,0.75,1000.0,0.002928506,0.001733366,309511680.0,299019200.0,295746016.0,296323776.0,300965728.0,311636960.0,318727584.0,269323168.0,181422304.0,188851232.0
50.0,20.0,100.0,3000.0,0.75,1000.0,0.002548745,0.001456411,311015264.0,299795008.0,297060704.0,297812352.0,304305504.0,314754560.0,295332800.0,230075808.0,116489120.0,171307360.0
50.0,20.0,125.0,3000.0,0.8,1000.0,0.002548745,0.001456411,311015264.0,299795008.0,297060704.0,297812352.0,304305504.0,314754560.0,295332800.0,230075808.0,116489120.0,171307360.0
50.0,20.0,200.0,3000.0,0.75,1000.0,0.002548745,0.001456411,311015264.0,299795008.0,297060704.0,297812352.0,304305504.0,314754560.0,295332800.0,230075808.0,116489120.0,171307360.0
50.0,25.0,100.0,3000.0,0.8,1000.0,0.002548745,0.001456411,311015264.0,299795008.0,297060704.0,297812352.0,304305504.0,314754560.0,295332800.0,230075808.0,116489120.0,171307360.0
50.0,25.0,125.0,3000.0,0.8,1000.0,0.002548745,0.001456411,311015264.0,299795008.0,297060704.0,297812352.0,304305504.0,314754560.0,295332800.0,230075808.0,116489120.0,171307360.0
50.0,25.0,150.0,3000.0,0.8,1000.0,0.002548745,0.001456411,311015264.0,299795008.0,297060704.0,297812352.0,304305504.0,314754560.0,295332800.0,230075808.0,116489120.0,171307360.0
50.0,25.0,160.0,3000.0,0.75,1000.0,0.002548745,0.001456411,311015264.0,299795008.0,297060704.0,297812352.0,304305504.0,314754560.0,295332800.0,230075808.0,116489120.0,171307360.0
50.0,30.0,125.0,3000.0,0.8,1000.0,0.002548745,0.001456411,311015264.0,299795008.0,297060704.0,297812352.0,304305504.0,314754560.0,295332800.0,230075808.0,116489120.0,171307360.0
50.0,32.0,125.0,3000.0,0.75,1000.0,0.002548745,0.001456411,311015264.0,299795008.0,297060704.0,297812352.0,304305504.0,314754560.0,295332800.0,230075808.0,116489120.0,171307360.0
50.0,37.5,100.0,3000.0,0.8,1000.0,0.002548745,0.001456411,311015264.0,299795008.0,297060704.0,297812352.0,304305504.0,314754560.0,295332800.0,230075808.0,116489120.0,171307360.0
50.0,40.0,100.0,3000.0,0.75,1000.0,0.002548745,0.001456411,311015264.0,299795008.0,297060704.0,297812352.0,304305504.0,314754560.0,295332800.0,230075808.0,116489120.0,171307360.0
50.0,20.0,100.0,3500.0,0.75,1000.0,0.002137827,0.001126503,312456640.0,300914976.0,299202912.0,300978496.0,310879424.0,317998720.0,271714240.0,174282832.0,50330424.0,152683280.0
50.0,20.0,125.0,3500.0,0.8,1000.0,0.002137827,0.001126503,312456640.0,300914976.0,299202912.0,300978496.0,310879424.0,317998720.0,271714240.0,174282832.0,50330424.0,152683280.0
50.0,20.0,200.0,3500.0,0.75,1000.0,0.002137827,0.001126503,312456640.0,300914976.0,299202912.0,300978496.0,310879424.0,317998720.0,271714240.0,174282832.0,50330424.0,152683280.0
50.0,25.0,100.0,3500.0,0.8,1000.0,0.002137827,0.001126503,312456640.0,300914976.0,299202912.0,300978496.0,310879424.0,317998720.0,271714240.0,174282832.0,50330424.0,152683280.0
50.0,25.0,125.0,3500.0,0.8,1000.0,0.002137827,0.001126503,312456640.0,300914976.0,299202912.0,300978496.0,310879424.0,317998720.0,271714240.0,174282832.0,50330424.0,152683280.0
50.0,25.0,150.0,3500.0,0.8,1000.0,0.002137827,0.001126503,312456640.0,300914976.0,299202912.0,300978496.0,310879424.0,317998720.0,271714240.0,174282832.0,50330424.0,152683280.0
50.0,25.0,160.0,3500.0,0.75,1000.0,0.002137827,0.001126503,312456640.0,300914976.0,299202912.0,300978496.0,310879424.0,317998720.0,271714240.0,174282832.0,50330424.0,152683280.0
50.0,30.0,125.0,3500.0,0.8,1000.0,0.002137827,0.001126503,312456640.0,300914976.0,299202912.0,300978496.0,310879424.0,317998720.0,271714240.0,174282832.0,50330424.0,152683280.0
50.0,32.0,125.0,3500.0,0.75,1000.0,0.002137827,0.001126503,312456640.0,300914976.0,299202912.0,300978496.0,310879424.0,317998720.0,271714240.0,174282832.0,50330424.0,152683280.0
50.0,37.5,100.0,3500.0,0.8,1000.0,0.002137827,0.001126503,312456640.0,300914976.0,299202912.0,300978496.0,310879424.0,317998720.0,271714240.0,174282832.0,50330424.0,152683280.0
50.0,40.0,100.0,3500.0,0.75,1000.0,0.002137827,0.001126503,312456640.0,300914976.0,299202912.0,300978496.0,310879424.0,317998720.0,271714240.0,174282832.0,50330424.0,152683280.0
50.0,20.0,100.0,4000.0,0.75,1000.0,0.001838007,0.000829863,313850560.0,302238592.0,301973952.0,305763456.0,319777536.0,316943168.0,245142640.0,123594928.0,-7464062.0,139400336.0
50.0,20.0,125.0,4000.0,0.8,1000.0,0.001838007,0.000829863,313850560.0,302238592.0,301973952.0,305763456.0,319777536.0,316943168.0,245142640.0,123594928.0,-7464062.0,139400336.0
50.0,20.0,200.0,4000.0,0.75,1000.0,0.001838007,0.000829863,313850560.0,302238592.0,301973952.0,305763456.0,319777536.0,316943168.0,245142640.0,123594928.0,-7464062.0,139400336.0
50.0,25.0,100.0,4000.0,0.8,1000.0,0.001838007,0.000829863,313850560.0,302238592.0,301973952.0,305763456.0,319777536.0,316943168.0,245142640.0,123594928.0,-7464062.0,139400336.0
50.0,25.0,125.0,4000.0,0.8,1000.0,0.001838007,0.000829863,313850560.0,302238592.0,301973952.0,305763456.0,319777536.0,316943168.0,245142640.0,123594928.0,-7464062.0,139400336.0
50.0,25.0,150.0,4000.0,0.8,1000.0,0.001838007,0.000829863,313850560.0,302238592.0,301973952.0,305763456.0,319777536.0,316943168.0,245142640.0,123594928.0,-7464062.0,139400336.0
50.0,25.0,160.0,4000.0,0.75,1000.0,0.001838007,0.000829863,313850560.0,302238592.0,301973952.0,305763456.0,319777536.0,316943168.0,245142640.0,123594928.0,-7464062.0,139400336.0
50.0,30.0,125.0,4000.0,0.8,1000.0,0.001838007,0.000829863,313850560.0,302238592.0,301973952.0,305763456.0,319777536.0,316943168.0,245142640.0,123594928.0,-7464062.0,139400336.0
50.0,32.0,125.0,4000.0,0.75,1000.0,0.001838007,0.000829863,313850560.0,302238592.0,301973952.0,305763456.0,319777536.0,316943168.0,245142640.0,123594928.0,-7464062.0,139400336.0
50.0,37.5,100.0,4000.0,0.8,1000.0,0.001838007,0.000829863,313850560.0,302238592.0,301973952.0,305763456.0,319777536.0,316943168.0,245142640.0,123594928.0,-7464062.0,139400336.0
50.0,40.0,100.0,4000.0,0.75,1000.0,0.001838007,0.000829863,313850560.0,302238592.0,301973952.0,305763456.0,319777536.0,316943168.0,245142640.0,123594928.0,-7464062.0,139400336.0
