,Travel_length,Welding_speed,Net_energy_input,Position,Stress
330,70,4000,2000,1.7,341.2723286
331,80,3000,1000,1.7,339.6934618
332,80,3500,2000,1.7,335.3118966
333,50,2000,2500,1.7,329.0960183
334,80,3000,2500,1.7,331.7157317
335,40,2000,3000,1.7,329.2502256
336,70,4000,1500,1.7,344.7732115
337,80,4000,2000,1.7,339.7361741
338,40,3000,2000,1.7,337.5753976
339,40,4000,3000,1.7,342.6896993
340,70,2500,1500,1.7,330.3552956
341,50,3000,2500,1.7,336.8049246
342,80,2000,3000,1.7,325.6969355
343,80,2500,1000,1.7,332.6443894
344,80,3000,2000,1.7,331.7971535
345,80,2500,2500,1.7,327.8910949
346,60,4000,1500,1.7,346.8889894
347,40,2000,2000,1.7,327.9461204
348,50,3500,1500,1.7,342.127533
349,70,3000,3000,1.7,334.2541285
350,60,3000,3000,1.7,335.655932
351,60,3000,2500,1.7,335.9982005
352,50,3000,3000,1.7,336.3369774
353,70,4000,3000,1.7,339.5479224
354,40,3500,1500,1.7,342.219476
355,50,4000,1000,1.7,351.7946018
356,40,4000,1000,1.7,351.1028987
357,70,3000,2000,1.7,334.5420706
358,60,3500,1000,1.7,347.9063155
359,50,4000,3000,1.7,342.3761656
360,70,3000,2500,1.7,333.8237576
361,50,2000,2000,1.7,327.9937595
362,70,2500,1000,1.7,335.0064659
363,80,2000,1000,1.7,326.4720419
364,50,4000,1500,1.7,347.3555318
365,40,2500,2000,1.7,332.5183057
366,70,3500,2000,1.7,338.0714313
367,80,3500,1000,1.7,344.0070864
368,50,2500,2000,1.7,332.1374126
369,50,3000,1500,1.7,337.8122715
370,40,3500,2000,1.7,340.8871729
371,80,4000,2500,1.7,338.0300707
372,50,2500,1500,1.7,333.0896645
373,50,2000,3000,1.7,330.6422839
374,70,3000,1000,1.7,344.3984029
375,50,3500,3000,2.55,344.9246212
376,80,3000,1500,2.55,344.8611491
377,60,3500,1500,2.55,350.5973018
378,60,3000,1500,2.55,346.2851904
379,40,2500,2500,2.55,336.0395599
380,60,2500,2000,2.55,338.1913566
381,50,4000,2000,2.55,351.3090557
382,40,3000,1500,2.55,344.9211108
383,60,2500,2500,2.55,337.4005468
384,70,2500,2500,2.55,337.2838555
385,40,2000,1000,2.55,326.4132249
386,70,2000,2000,2.55,332.6661451
387,60,4000,1000,2.55,318.4013438
388,40,2500,1000,2.55,330.2438531
389,70,2000,1000,2.55,328.9225798
390,50,2500,3000,2.55,337.0995282
391,40,3000,3000,2.55,340.7776362
392,80,3500,1500,2.55,348.8791857
393,50,2500,2500,2.55,336.8929071
394,70,3500,3000,2.55,344.6463397
395,50,3000,1000,2.55,318.2194379
396,80,2500,2000,2.55,336.5096711
397,60,2000,3000,2.55,334.4533839
398,60,3000,1000,2.55,318.8785871
399,60,2000,1500,2.55,334.3675557
400,70,2000,1500,2.55,334.2878025
401,50,2500,1000,2.55,332.0645088
402,40,4000,2500,2.55,350.9525016
403,70,3500,1500,2.55,350.2759052
404,80,2000,2500,2.55,331.3220918
405,50,4000,2500,2.55,348.9077263
406,80,3500,2500,2.55,344.0613904
407,60,3500,2000,2.55,347.4452626
408,70,2000,3000,2.55,333.8761242
409,60,3500,2500,2.55,346.1342122
410,60,3000,2000,2.55,344.2616788
411,40,2500,1500,2.55,341.2644661
412,80,2500,3000,2.55,336.1019888
413,50,3000,2000,2.55,343.8974307
414,70,4000,2500,2.55,348.5983319
415,50,2000,1000,2.55,327.9769902
416,40,2500,3000,2.55,335.6876592
417,80,2500,1500,2.55,337.9085699
418,40,3000,2500,2.55,342.1438369
419,50,3500,2500,2.55,346.0374505
420,60,2000,1000,2.55,329.0046311
421,40,3500,1000,2.55,316.9796719
422,40,3000,1000,2.55,321.1321409
423,70,4000,1000,2.55,318.9349151
424,40,3500,3000,2.55,344.3320099
425,80,4000,1000,2.55,317.1239857
426,50,2000,1500,2.55,333.6448955
427,40,2000,1500,2.55,331.7182634
428,60,3500,3000,2.55,345.1021086
429,60,4000,2500,2.55,351.1908503
430,70,2500,3000,2.55,337.7671681
431,60,4000,3000,2.55,349.2610935
432,70,2000,2500,2.55,333.1384038
433,50,3500,1000,2.55,318.4361977
434,40,4000,1500,2.55,351.6799268
435,80,4000,1500,2.55,351.922311
436,60,2500,3000,2.55,337.8247761
437,60,2500,1500,2.55,340.8015632
438,80,3500,3000,2.55,343.1365905
439,70,2500,2000,2.55,337.9371467
440,60,2500,1000,2.55,332.946281
441,40,2000,2500,2.55,331.1802147
442,70,3500,2500,2.55,345.6232183
443,70,3500,1000,2.55,318.9613073
444,80,2000,1500,2.55,332.982731
445,40,4000,2000,2.55,354.0628224
446,60,4000,2000,2.55,354.9907163
447,70,3000,1500,2.55,347.4610084
448,80,2000,2000,2.55,331.4110257
449,50,3500,2000,2.55,347.0459093
450,40,3500,2500,2.55,345.4526105
451,80,3000,3000,2.55,340.0001332
452,80,4000,3000,2.55,347.0404286
453,60,2000,2500,2.55,333.7736991
454,60,2000,2000,2.55,332.6217868
455,70,4000,2000,2.55,351.3509293
456,80,3000,1000,2.55,317.8987016
457,80,3500,2000,2.55,345.7408863
458,50,2000,2500,2.55,332.7071784
459,80,3000,2500,2.55,341.1813617
460,40,2000,3000,2.55,331.1861393
461,70,4000,1500,2.55,353.1992192
462,80,4000,2000,2.55,353.126482
463,40,3000,2000,2.55,343.5205531
464,40,4000,3000,2.55,349.1271966
465,70,2500,1500,2.55,339.1694139
466,50,3000,2500,2.55,342.6882492
467,80,2000,3000,2.55,331.8964806
468,80,2500,1000,2.55,331.49392
469,80,3000,2000,2.55,342.4678802
470,80,2500,2500,2.55,335.90035
471,60,4000,1500,2.55,353.523611
472,40,2000,2000,2.55,330.7700033
473,50,3500,1500,2.55,349.8455188
474,70,3000,3000,2.55,341.4996658
475,60,3000,3000,2.55,341.8376104
476,60,3000,2500,2.55,342.9562869
477,50,3000,3000,2.55,341.4451703
478,70,4000,3000,2.55,348.7276673
479,40,3500,1500,2.55,349.0072798
480,50,4000,1000,2.55,318.4382532
481,40,4000,1000,2.55,315.2799529
482,70,3000,2000,2.55,343.8682476
483,60,3500,1000,2.55,319.4246307
484,50,4000,3000,2.55,349.3557269
485,70,3000,2500,2.55,341.2659987
486,50,2000,2000,2.55,331.8287837
487,70,2500,1000,2.55,332.7650637
488,80,2000,1000,2.55,327.7318652
489,50,4000,1500,2.55,353.0136768
490,40,2500,2000,2.55,337.1721565
